City,Avg_Household_Size,Median_Age,Dependency_Ratio,Population
"(1) 2000-2006 dönemi yıl sonu nüfusları, ADNKS sonuçlarına göre tahmin edilmiştir.",,,,
(1) End of the year populations for the 2000-2006 period were estimated based on ABPRS results.,,,,
(3) 2007-2025 dönemi için ADNKS sonuçlarıdır.,,,,
(3) ABPRS results for the period 2007-2025.,,,,
2007,,,Toplam-Total,
2008,,,Toplam-Total,
2009,,,Toplam-Total,
2010,,,Toplam-Total,
2011,,,Toplam-Total,
2012,,,Toplam-Total,
2013,,,Toplam-Total,
2014,,,Toplam-Total,
2015,,,Toplam-Total,
2016,,,Toplam-Total,
2017,,,Toplam-Total,
2018,,,Toplam-Total,
2019,,,Toplam-Total,
2020,,,Toplam-Total,
2021,,,Toplam-Total,
2022,,,Toplam-Total,
2023,,,Toplam-Total,
2024,,,Toplam-Total,
2025,,,Toplam-Total,
Adana,3.2517096061213775,34.015534478659646,,2280484.0
Adıyaman,3.58942870182135,29.899186513129198,,611037.0
Afyonkarahisar,3.121008963466624,36.00862166868564,,750193.0
Aksaray,3.1964527900372404,33.05345181594803,,439474.0
Amasya,2.793709814857851,40.02265491060495,,342378.0
Ankara,2.8636177446236344,35.93383819428382,,5864049.0
Antalya,2.898380278241756,36.4461267325435,,2722103.0
Ardahan,2.9637980752527535,35.89090588649982,,91354.0
Artvin,2.637280969761028,41.88383115721695,,169280.0
Aydın,2.7184858455098824,39.948480050664976,,1165943.0
Ağrı,4.234780976555866,24.496350140458077,,499801.0
Balıkesir,2.57893760254852,42.258184084145384,,1276096.0
Bartın,2.7312083003897745,41.39012512899897,,206715.0
Batman,4.429250908094031,25.394332622672867,,654528.0
Bayburt,2.9842165489484276,32.777060816260686,,83676.0
Bilecik,2.801163391933816,37.12995476728961,,228495.0
Bingöl,3.2850746807563156,30.56452973428933,,283276.0
Bitlis,3.9446609420667467,25.902716914986854,,359808.0
Bolu,2.774297181445044,38.35071869508403,,326409.0
Burdur,2.642488063989418,39.687043422359885,,275826.0
Bursa,3.0634662616153023,36.31859920994223,,3238618.0
Denizli,2.796156180895807,38.21741324838426,,1061371.0
Diyarbakır,4.088244349463923,26.252610403295336,,1833684.0
Düzce,3.0240232512374927,36.323182610478824,,412344.0
Edirne,2.6047450616186167,41.434983950782396,,421247.0
Elazığ,3.0135629664854138,35.20447889550019,,603941.0
Erzincan,2.7341692090185283,35.576581269919096,,241239.0
Erzurum,3.3553684937154253,30.788267514964424,,745005.0
Eskişehir,2.5568298036151362,38.193950046526744,,921630.0
Gaziantep,3.669158127181512,27.03935328115526,,2193363.0
Giresun,2.4975864934710095,42.85765718587373,,455922.0
Gümüşhane,2.674172794117647,36.654149764280234,,142617.0
Hakkari,4.313695209305382,26.343846546087164,,282191.0
Hatay,3.323719466519721,31.811011991243873,,1562185.0
Isparta,2.7057106484755744,38.22040643522438,,446409.0
Iğdır,3.7103224435385713,28.00154362779613,,206857.0
Kahramanmaraş,3.355873058663192,31.42371920957678,,1134105.0
Karabük,2.574326130541323,38.938424759320284,,250478.0
Karaman,2.884540140070614,35.11475720789074,,262791.0
Kars,3.4852792156218335,29.695614973262032,,272300.0
Kastamonu,2.6275975763184913,42.85517777862103,,381991.0
"Kaynak: TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS), 2007-2025",,,,
"Kaynak: TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları (ADNKS), 2008-2025",,,,
"Kaynak: TÜİK, Nüfus tahminleri, 2000-2006, Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS), 2007-2025",,,,
Kayseri,3.10763888128129,34.4109933063969,,1452458.0
Kilis,3.2558263772954925,28.075940913019565,,156739.0
Kocaeli,3.1636386816153585,34.021675590993055,,2130006.0
Konya,3.174110837721747,33.37850361946747,,2330024.0
Kütahya,2.7137692242118514,39.77725762609484,,571078.0
Kırklareli,2.6482685011221663,41.14114652727956,,379031.0
Kırıkkale,2.753095025072304,37.95284188955996,,283053.0
Kırşehir,2.8068954414296154,37.89487951807229,,244546.0
Malatya,3.0892191418694503,35.553690640543145,,750491.0
Manisa,2.9054573684785114,37.82708623055169,,1475353.0
Mardin,4.2497581370475705,25.420335416236316,,895911.0
Mersin,3.0530379197322364,35.41567994005415,,1954279.0
Muğla,2.704317910158046,40.212929809605,,1081867.0
Muş,4.113090005318052,24.756972957666715,,392301.0
Nevşehir,2.9393075003131957,36.19528314698293,,317952.0
Niğde,3.00581127588488,34.089795418351095,,372708.0
Ordu,2.68149407224485,41.050381940691096,,770711.0
Osmaniye,3.224084828251005,32.9120537809558,,561061.0
Rize,2.8119758766580594,39.76993472417765,,346977.0
Sakarya,3.140880521403376,35.540553285130464,,1110735.0
Samsun,2.941326062849808,38.30469228612666,,1382376.0
Siirt,4.294854801783347,24.50127276584139,,336453.0
Sinop,2.56604087848288,43.39140514750353,,226957.0
Sivas,3.0049663425579656,36.385140812945664,,637007.0
"Source: TurkStat, Address Based Population Registration System (ABPRS), 2007-2025",,,,
"Source: TurkStat, Population Estimates, 2000-2006, Address Based Population Registration System (ABPRS), 2007-2025",,,,
"Source: TurkStat, The Results of Address Based Population Registration System (ABPRS), 2008-2025",,,,
Tekirdağ,2.993208932395228,35.60595720555194,,1187162.0
Tokat,2.935149753295166,39.36750965491466,,612674.0
Trabzon,2.827481779878153,38.65846591507744,,822270.0
Tunceli,2.4941233295765577,39.87218045112782,,86612.0
"TurkStat, The Results of Address Based Population Registration System, 2025",,,,
"TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları, 2025",,,,
Uşak,2.749306176747173,38.930366784583875,,375310.0
Van,4.175991606589752,25.534027194734758,,1118087.0
Yalova,2.8697130344589143,37.15445814895019,,307882.0
Yozgat,2.831853368122126,37.78980764335842,,413161.0
Zonguldak,2.7069194975297766,41.65833653722927,,586802.0
Çanakkale,2.5132135452660678,41.66304398094621,,568966.0
Çankırı,2.690447212001132,40.061192341869294,,199981.0
Çorum,2.713760892937217,40.86902250821029,,521335.0
İstanbul,3.0912271219472123,34.51771124343605,,15701602.0
İzmir,2.7485208462468305,38.96431033411539,,4493242.0
Şanlıurfa,4.632831454408503,21.44432399331358,,2237745.0
Şırnak,4.844663194137901,23.00607020321985,,570826.0
